qseqid,sseqid,pident
YP_004821450.1,YP_009282809.1,0.856
NP_671604.1,YP_010377091.1,0.933
NP_570490.1,NP_671604.1,0.933
NP_671604.1,YP_717411.1,0.932
NP_671604.1,YP_010085558.1,0.932
NP_619906.1,NP_938338.1,0.73
NP_671612.1,NP_938338.1,0.728
NP_938338.1,YP_010509320.1,0.728
NP_938338.1,YP_009282803.1,0.727
NP_042139.1,NP_938338.1,0.724
YP_010776855.1,YP_010779967.1,0.808
YP_010776855.1,YP_010789397.1,0.793
YP_007354228.1,YP_010789581.1,0.851
NP_671673.1,YP_010085641.1,0.922
NP_671673.1,YP_717494.1,0.92
YP_009480607.1,YP_010509308.1,0.737
NP_671673.1,YP_010509386.1,0.908
NP_671673.1,YP_010377161.1,0.905
NP_570570.1,NP_671673.1,0.908
NP_042218.1,NP_671673.1,0.907
NP_938338.1,YP_009408490.1,0.738
NP_938338.1,YP_010085567.1,0.732
YP_010779491.1,YP_010789805.1,0.912
NP_570228.1,YP_009480607.1,0.749
YP_009480607.1,YP_227455.1,0.748
YP_009408276.1,YP_009480607.1,0.744
NP_938326.1,YP_009480607.1,0.743
YP_004821431.1,YP_009480607.1,0.744
NP_938338.1,YP_001293274.1,0.809
YP_009702963.1,YP_009703309.1,0.963
YP_009702963.1,YP_009703120.1,0.963
YP_003986735.1,YP_010777150.1,0.694
YP_009174603.1,YP_009174728.1,0.764
YP_009174728.1,YP_009665024.1,0.53
YP_009182052.1,YP_009272769.1,0.915
YP_009182052.1,YP_009508686.1,0.905
YP_004821393.1,YP_009408442.1,0.855
YP_009552307.1,YP_010084876.1,0.92
YP_009701467.1,YP_009701657.1,0.963
YP_009701467.1,YP_762356.1,0.671
YP_009272764.1,YP_010793871.1,0.954
YP_009508680.1,YP_010793871.1,0.946
YP_009703265.1,YP_009703635.1,0.97
NP_051970.1,NP_570499.1,0.794
NP_051970.1,YP_010085383.1,0.794
NP_044046.1,NP_051970.1,0.791
NP_671673.1,YP_010085850.1,0.934
YP_009281853.1,YP_010085378.1,0.634
YP_010085378.1,YP_010085774.1,0.634
NP_039062.1,YP_004821357.1,0.449
YP_001293262.1,YP_009480607.1,0.74
NP_659643.1,YP_009480607.1,0.74
YP_009480607.1,YP_232980.1,0.74
NP_051782.1,YP_009480607.1,0.739
NP_570486.1,YP_009480607.1,0.739
NP_619894.1,YP_009480607.1,0.738
YP_009480607.1,YP_717407.1,0.738
NP_039062.1,YP_010509402.1,0.46
NP_039062.1,YP_717526.1,0.458
NP_039062.1,YP_010085869.1,0.452
NP_039062.1,YP_005296351.1,0.447
NP_042782.1,YP_009927213.1,0.966
YP_010780987.1,YP_010782327.1,0.828
YP_010776585.1,YP_010779312.1,0.808
YP_010779312.1,YP_010788614.1,0.805
YP_007354477.1,YP_010788776.1,0.815
YP_007354477.1,YP_010776439.1,0.81
YP_004894554.1,YP_010788856.1,0.864
YP_010085603.1,YP_010085811.1,0.952
NP_051970.1,YP_005296288.1,0.823
NP_051970.1,YP_009408491.1,0.806
YP_004894542.1,YP_010788867.1,0.81
NP_051970.1,YP_009282804.1,0.797
NP_957849.1,YP_003457377.1,0.935
YP_009702427.1,YP_009703475.1,0.98
YP_009702268.1,YP_009703475.1,0.98
YP_009703252.1,YP_009703475.1,0.979
NP_150467.1,YP_001293224.1,0.937
NP_659605.1,YP_001293224.1,0.929
YP_009702963.1,YP_009703833.1,0.964
NP_957981.1,YP_003457377.1,0.863
NP_671604.1,NP_938330.1,0.705
NP_671604.1,YP_005296279.1,0.686
NP_671604.1,YP_008658493.1,0.686
NP_039062.1,YP_009143326.1,0.582
NP_039062.1,YP_009177188.1,0.358
NP_039062.1,YP_009448018.1,0.84
NP_039062.1,YP_009046333.1,0.826
NP_039062.1,NP_955149.1,0.586
NP_039062.1,YP_009281948.1,0.463
NP_039062.1,NP_536609.1,0.461
NP_039062.1,YP_010085660.1,0.461
YP_003457377.1,YP_009112811.1,0.855
YP_010779414.1,YP_010789880.1,0.852
YP_004894114.1,YP_010775955.1,0.908
YP_009282791.1,YP_009480607.1,0.735
YP_009702631.1,YP_009702963.1,0.964
YP_006347660.1,YP_010793871.1,0.944
YP_010776361.1,YP_010788861.1,0.93
YP_009703635.1,YP_009703796.1,0.97
NP_659611.1,YP_001293230.1,0.952
YP_003457361.1,YP_005296275.1,0.701
YP_005296275.1,YP_009389342.1,0.696
YP_003969924.1,YP_010779471.1,0.337
NP_957969.1,YP_009112799.1,0.837
YP_009703541.1,YP_009703696.1,0.97
YP_009702336.1,YP_009703541.1,0.97
YP_009702312.1,YP_009702963.1,0.964
NP_042758.1,YP_009702963.1,0.964
YP_009702963.1,YP_009927188.1,0.964
YP_009702963.1,YP_009703672.1,0.964
YP_010778767.1,YP_010778866.1,0.935
YP_008003592.1,YP_008003872.1,0.672
YP_008003592.1,YP_008004452.1,0.667
YP_008003592.1,YP_008004139.1,0.66
YP_009702294.1,YP_009703816.1,0.965
YP_009703290.1,YP_009703816.1,0.965
YP_010777831.1,YP_010842375.1,0.59
YP_007354865.1,YP_010842375.1,0.554
YP_003986475.1,YP_010842375.1,0.695
YP_010789339.1,YP_010842375.1,0.553
YP_009702485.1,YP_009702646.1,0.831
YP_009702485.1,YP_009702978.1,0.856
YP_009702485.1,YP_009703331.1,0.836
YP_009702485.1,YP_009703136.1,0.835
YP_009702485.1,YP_009927204.1,0.815
YP_010780399.1,YP_010781691.1,0.916
NP_570514.1,YP_004821461.1,0.844
NP_570514.1,YP_009408054.1,0.761
NP_051985.1,NP_570514.1,0.728
NP_051810.1,NP_570514.1,0.724
NP_570514.1,YP_009329732.1,0.709
YP_009281863.1,YP_009282809.1,0.945
YP_009702798.1,YP_009702963.1,0.972
YP_009702470.1,YP_009702963.1,0.964
YP_009703483.1,YP_009703637.1,0.951
YP_009703267.1,YP_009703483.1,0.951
NP_570232.1,YP_008658493.1,0.662
NP_570232.1,YP_009268793.1,0.652
NP_671600.1,YP_009480607.1,0.736
YP_005296283.1,YP_009281853.1,0.651
YP_005296283.1,YP_009143414.1,0.649
YP_005296283.1,YP_010085563.1,0.647
YP_004894915.1,YP_010776821.1,0.525
YP_004894915.1,YP_004895060.1,0.521
YP_010780731.1,YP_010789695.1,0.394
YP_004894500.1,YP_010780731.1,0.375
YP_010776314.1,YP_010780731.1,0.374
YP_010780731.1,YP_010788910.1,0.372
YP_010780731.1,YP_010841709.1,0.356
YP_010777354.1,YP_010780731.1,0.353
NP_042840.1,YP_009703753.1,0.947
YP_009703434.1,YP_009703753.1,0.947
YP_009703597.1,YP_009703753.1,0.947
YP_009702393.1,YP_009703753.1,0.947
YP_009703202.1,YP_009703753.1,0.947
YP_004894971.1,YP_010776748.1,0.826
NP_570232.1,YP_009408280.1,0.705
NP_570514.1,YP_009281873.1,0.937
NP_570232.1,NP_671604.1,0.712
NP_073460.1,NP_671604.1,0.71
YP_009143316.1,YP_009143518.1,0.989
YP_009143316.1,YP_009282903.1,0.833
YP_009342210.1,YP_010088005.1,0.873
NP_078724.1,YP_009342210.1,0.7
YP_009143424.1,YP_009282809.1,0.942
NP_619912.1,YP_009282809.1,0.922
NP_042145.1,YP_009282809.1,0.917
NP_536535.1,YP_009282809.1,0.916
NP_955267.1,YP_010085397.1,0.724
YP_009268793.1,YP_009282795.1,0.662
YP_009282795.1,YP_009480611.1,0.644
YP_003986825.1,YP_007354477.1,0.705
YP_009703541.1,YP_009703857.1,0.968
YP_004894915.1,YP_010779989.1,0.526
YP_009480607.1,YP_010085368.1,0.728
YP_009480607.1,YP_010085204.1,0.726
YP_005296275.1,YP_009480607.1,0.726
NP_044030.1,YP_009480607.1,0.724
YP_009046368.1,YP_009480607.1,0.71
NP_039100.1,YP_009480607.1,0.71
NP_957965.1,YP_009480607.1,0.699
YP_009480607.1,YP_784289.1,0.661
YP_010776221.1,YP_010779705.1,0.752
YP_010085688.1,YP_010377011.1,0.788
NP_536521.1,NP_671604.1,0.931
NP_671604.1,YP_009143410.1,0.911
NP_671604.1,YP_009408280.1,0.848
NP_671604.1,YP_009408030.1,0.735
NP_671604.1,YP_001293266.1,0.718
NP_659647.1,NP_671604.1,0.717
NP_042741.1,YP_009703816.1,0.965
YP_009703655.1,YP_009703816.1,0.965
YP_009702614.1,YP_009703816.1,0.965
YP_009703816.1,YP_009927171.1,0.947
YP_009702946.1,YP_009703816.1,0.922
YP_009702781.1,YP_009703816.1,0.918
NP_042155.1,NP_570514.1,0.96
NP_570514.1,NP_619922.1,0.956
YP_010085453.1,YP_010085664.1,0.978
NP_042080.1,NP_570437.1,0.953
NP_042080.1,YP_717359.1,0.955
YP_010776221.1,YP_010780889.1,0.733
YP_003986752.1,YP_010776221.1,0.708
YP_010776221.1,YP_010841616.1,0.706
NP_051750.1,NP_051925.1,0.862
YP_009143406.1,YP_009480607.1,0.732
YP_010779408.1,YP_010789884.1,0.546
YP_010788713.1,YP_010789884.1,0.447
YP_001426157.1,YP_009701899.1,0.823
YP_001426157.1,YP_009701902.1,0.508
NP_042080.1,YP_010085719.1,0.924
NP_042080.1,NP_671553.1,0.923
NP_042080.1,YP_010085504.1,0.922
NP_042080.1,NP_536471.1,0.92
NP_042080.1,YP_010377039.1,0.917
NP_042080.1,YP_009281796.1,0.833
NP_671604.1,YP_009268793.1,0.657
NP_570514.1,YP_010377115.1,0.953
NP_536545.1,NP_570514.1,0.951
NP_570514.1,YP_009143434.1,0.936
YP_009703500.1,YP_009703816.1,0.965
YP_009703103.1,YP_009703816.1,0.965
NP_042080.1,YP_009143358.1,0.806
YP_001426157.1,YP_001426167.1,0.513
YP_001426157.1,YP_001426973.1,0.479
YP_010780862.1,YP_010782169.1,0.745
YP_008357349.1,YP_009010346.1,0.998
YP_004894380.1,YP_010776198.1,0.892
NP_051965.1,YP_005296283.1,0.694
YP_004821439.1,YP_005296283.1,0.651
YP_005296283.1,YP_010085774.1,0.64
YP_005296283.1,YP_010377095.1,0.638
NP_042080.1,YP_010509260.1,0.936
NP_042080.1,YP_232933.1,0.935
NP_042080.1,NP_619847.1,0.925
YP_007354525.1,YP_010789884.1,0.623
YP_010776493.1,YP_010789884.1,0.466
YP_004894691.1,YP_010789884.1,0.458
NP_042794.1,YP_009702506.1,0.97
YP_009702506.1,YP_009703157.1,0.969
YP_010780826.1,YP_010782131.1,0.851
YP_003986993.1,YP_010782131.1,0.427
YP_010777396.1,YP_010782131.1,0.424
YP_010779659.1,YP_010782131.1,0.422
YP_001110929.1,YP_009702078.1,0.956
YP_001110929.1,YP_009701542.1,0.937
NP_044061.1,YP_010085397.1,0.757
YP_005296283.1,YP_717415.1,0.638
NP_042135.1,YP_005296283.1,0.636
NP_048532.2,YP_001425655.1,0.751
YP_001425655.1,YP_001498312.1,0.747
YP_001425655.1,YP_009325633.1,0.678
YP_001425655.1,YP_009665304.1,0.727
NP_042080.1,YP_009282742.1,0.828
YP_009172518.1,YP_009172792.1,0.942
YP_009702757.1,YP_009702921.1,0.948
NP_042158.1,NP_536548.1,0.933
NP_042158.1,YP_010085797.1,0.932
NP_042158.1,YP_010085587.1,0.932
NP_042158.1,YP_010509339.1,0.93
YP_010085160.1,YP_010085324.1,0.928
YP_010085774.1,YP_232988.1,0.95
NP_957969.1,YP_009389347.1,0.849
NP_042158.1,YP_009143437.1,0.853
NP_042158.1,YP_009282822.1,0.846
NP_042158.1,YP_009408509.1,0.74
NP_042158.1,YP_004821465.1,0.736
YP_001425655.1,YP_009701703.1,0.964
YP_001425655.1,YP_001427279.1,0.84
YP_009702348.1,YP_009702506.1,0.97
NP_938326.1,YP_717407.1,0.824
NP_659643.1,YP_717407.1,0.821
NP_570228.1,YP_717407.1,0.82
YP_031586.1,YP_164199.1,0.642
YP_001425655.1,YP_001497445.1,0.738
YP_009506668.1,YP_164199.1,0.64
YP_004894403.1,YP_010776221.1,0.912
YP_004894338.1,YP_010776159.1,0.728
YP_004894338.1,YP_010789070.1,0.643
YP_003987191.1,YP_004894338.1,0.398
YP_005296283.1,YP_009329713.1,0.867
YP_005296283.1,YP_227463.1,0.722
YP_009702506.1,YP_009927225.1,0.967
YP_009702506.1,YP_009702834.1,0.953
YP_009703116.1,YP_009927184.1,0.962
YP_009703513.1,YP_009927184.1,0.962
YP_009702446.1,YP_009702939.1,0.955
YP_009702939.1,YP_009703096.1,0.955
YP_003987240.1,YP_010777632.1,0.917
NP_671612.1,YP_717419.1,0.965
NP_042139.1,YP_717419.1,0.965
NP_042785.1,YP_009703148.1,0.95
NP_150513.1,YP_005296283.1,0.698
YP_010776221.1,YP_010789005.1,0.908
YP_008357419.1,YP_009010887.1,0.972
YP_009702506.1,YP_009702667.1,0.968
YP_009702506.1,YP_009703708.1,0.968
NP_042155.1,NP_536545.1,0.948
YP_009702959.1,YP_009703305.1,0.946
YP_009408026.1,YP_717407.1,0.835
YP_227455.1,YP_717407.1,0.83
NP_051782.1,YP_717407.1,0.825
NP_039100.1,YP_717407.1,0.747
YP_009010420.1,YP_009010887.1,0.958
YP_010776493.1,YP_010788713.1,0.719
YP_007354525.1,YP_010788713.1,0.47
NP_536530.1,YP_232993.1,0.958
YP_010793829.1,YP_164199.1,0.642
YP_006347602.1,YP_164199.1,0.64
YP_009182006.1,YP_164199.1,0.638
YP_009272718.1,YP_164199.1,0.641
YP_003777.1,YP_164199.1,0.64
NP_957965.1,YP_717407.1,0.721
YP_009389342.1,YP_717407.1,0.719
YP_003457361.1,YP_717407.1,0.718
NP_957833.1,YP_717407.1,0.715
YP_004894303.1,YP_010776124.1,0.852
YP_010085554.1,YP_717407.1,0.955
YP_010087881.1,YP_073538.1,0.848
YP_009342124.1,YP_073538.1,0.829
NP_570393.1,NP_619794.1,0.89
NP_570393.1,NP_620004.1,0.89
NP_570393.1,YP_010085451.1,0.879
YP_009238756.1,YP_009310243.1,0.85
YP_001293262.1,YP_717407.1,0.82
YP_008658488.1,YP_717407.1,0.795
YP_005296275.1,YP_717407.1,0.778
NP_042754.1,YP_009927184.1,0.962
YP_010780731.1,YP_010782039.1,0.782
YP_003406899.1,YP_009094641.1,0.972
YP_009094792.1,YP_009507014.1,0.702
NP_038987.1,YP_009447941.1,0.873
YP_010085368.1,YP_717407.1,0.758
YP_009268789.1,YP_717407.1,0.744
YP_004894615.1,YP_010776422.1,0.92
YP_010776422.1,YP_010788795.1,0.901
NP_570393.1,YP_717313.1,0.983
NP_570393.1,YP_717527.1,0.983
NP_570393.1,NP_671520.1,0.937
NP_570393.1,NP_671690.1,0.937
NP_570393.1,YP_010509224.1,0.925
NP_536430.1,NP_570393.1,0.922
YP_010085453.1,YP_010085873.1,0.864
NP_620003.1,YP_010085453.1,0.85
NP_570394.1,YP_010085453.1,0.839
NP_536530.1,NP_671613.1,0.955
NP_536530.1,NP_570499.1,0.95
NP_536530.1,YP_009281858.1,0.939
NP_536530.1,YP_009282804.1,0.935
YP_010085204.1,YP_717407.1,0.757
NP_038987.1,YP_009046027.1,0.87
NP_038987.1,YP_009046268.1,0.866
NP_042158.1,YP_717438.1,0.945
NP_042158.1,YP_010377118.1,0.935
NP_042158.1,NP_671631.1,0.933
YP_227463.1,YP_232988.1,0.699
YP_009703541.1,YP_009927213.1,0.966
YP_009702822.1,YP_009703541.1,0.944
YP_009702987.1,YP_009703541.1,0.944
YP_008004287.1,YP_008004589.1,0.933
NP_064956.1,YP_008004287.1,0.883
NP_659643.1,YP_005296275.1,0.808
NP_957965.1,YP_005296275.1,0.7
YP_010779522.1,YP_010780547.1,0.584
NP_073464.1,YP_232988.1,0.706
NP_938334.1,YP_232988.1,0.688
YP_009702939.1,YP_009703809.1,0.955
YP_010780255.1,YP_010781540.1,0.937
YP_004063552.1,YP_007674767.1,0.951
YP_009282791.1,YP_717407.1,0.937
YP_009143406.1,YP_717407.1,0.937
YP_009408276.1,YP_717407.1,0.905
YP_004821431.1,YP_717407.1,0.885
NP_536530.1,YP_009143419.1,0.934
NP_536530.1,YP_009408491.1,0.881
NP_536530.1,YP_227468.1,0.816
NP_150518.1,NP_536530.1,0.812
NP_536530.1,NP_938339.1,0.804
NP_051970.1,NP_536530.1,0.801
NP_536530.1,YP_009329717.1,0.787
NP_536530.1,YP_008658502.1,0.784
NP_536530.1,YP_005296288.1,0.78
NP_570486.1,YP_717407.1,0.956
NP_051923.1,NP_957802.1,0.569
NP_051923.1,YP_009112764.1,0.563
YP_008004241.1,YP_008004543.1,0.961
YP_009702939.1,YP_009703648.1,0.955
YP_009702959.1,YP_009927184.1,0.944
YP_009702794.1,YP_009927184.1,0.942
YP_009703305.1,YP_009927184.1,0.966
YP_009703829.1,YP_009927184.1,0.966
NP_570444.1,YP_009281804.1,0.895
NP_570444.1,YP_009408438.1,0.747
NP_570444.1,YP_009408236.1,0.747
NP_570444.1,YP_004821389.1,0.686
NP_042135.1,YP_232988.1,0.949
YP_010085563.1,YP_232988.1,0.929
YP_009281853.1,YP_232988.1,0.911
YP_009282799.1,YP_232988.1,0.91
YP_009143414.1,YP_232988.1,0.909
YP_009408284.1,YP_232988.1,0.824
YP_009408486.1,YP_232988.1,0.824
YP_004821439.1,YP_232988.1,0.799
YP_010788834.1,YP_010789770.1,0.784
YP_010781850.1,YP_010789770.1,0.687
NP_570444.1,YP_717366.1,0.949
NP_042087.1,NP_570444.1,0.948
NP_570444.1,NP_619855.1,0.946
NP_536478.1,NP_570444.1,0.943
NP_570444.1,YP_010377047.1,0.942
YP_009046368.1,YP_717407.1,0.749
YP_232980.1,YP_717407.1,0.958
NP_619894.1,YP_717407.1,0.957
NP_671600.1,YP_717407.1,0.957
YP_007354452.1,YP_010789804.1,0.98
YP_007354452.1,YP_010788802.1,0.904
YP_004894608.1,YP_007354452.1,0.899
YP_010779766.1,YP_010789556.1,0.551
YP_003987191.1,YP_010789556.1,0.36
YP_001497901.1,YP_009665509.1,0.937
NP_048985.1,YP_001498028.1,0.625
YP_006347694.1,YP_010793898.1,0.963
YP_010793898.1,YP_031619.1,0.959
YP_009506702.1,YP_010793898.1,0.958
YP_009259394.1,YP_010793898.1,0.955
YP_010793898.1,YP_164152.1,0.571
NP_570196.1,NP_957934.1,0.574
NP_570196.1,NP_957802.1,0.568
YP_004894671.1,YP_010788736.1,0.962
YP_010776476.1,YP_010788736.1,0.956
NP_570498.1,YP_717419.1,0.971
YP_010085567.1,YP_717419.1,0.969
YP_010509320.1,YP_717419.1,0.967
YP_010085778.1,YP_717419.1,0.968
NP_150513.1,YP_009281853.1,0.69
NP_051965.1,YP_009281853.1,0.688
YP_008658497.1,YP_009281853.1,0.661
YP_009281853.1,YP_010085214.1,0.615
NP_570196.1,YP_001293230.1,0.758
NP_570196.1,NP_671567.1,0.684
YP_010509308.1,YP_717407.1,0.956
YP_004894855.1,YP_010788542.1,0.871
NP_150473.1,NP_570196.1,0.761
NP_570196.1,NP_659611.1,0.76
NP_051923.1,NP_570196.1,0.76
