qseqid,sseqid,pident
NP_044000.1,NP_659620.1,53.472
NP_659620.1,YP_004821408.1,66.975
NP_536495.1,NP_659620.1,66.051
NP_659620.1,YP_010377065.1,66.051
YP_008357304.1,YP_009010300.1,98.606
YP_008357304.1,YP_009010768.1,100.0
YP_010776219.1,YP_010789606.1,71.348
NP_051957.1,YP_010509308.1,80.978
NP_051957.1,YP_717407.1,80.978
NP_051957.1,YP_232980.1,81.211
NP_051957.1,YP_010085766.1,81.366
NP_051957.1,YP_010377087.1,81.211
NP_042127.1,NP_051957.1,81.211
NP_051957.1,YP_010085554.1,81.444
NP_051957.1,YP_009408026.1,82.737
NP_051957.1,YP_227455.1,85.848
NP_051957.1,YP_009177121.1,70.643
NP_051957.1,YP_009046368.1,70.908
NP_955270.1,YP_009329735.1,39.348
NP_955270.1,YP_009282822.1,39.756
NP_955270.1,YP_233011.1,40.133
NP_955270.1,YP_010085797.1,39.823
NP_955270.1,YP_005296306.1,39.716
NP_671631.1,NP_955270.1,39.978
NP_955270.1,YP_009281876.1,39.669
NP_955270.1,YP_009143437.1,40.442
NP_955270.1,YP_004821465.1,40.243
NP_955270.1,YP_010509339.1,40.199
NP_938356.1,NP_955270.1,39.145
NP_042073.2,YP_010085496.1,89.752
NP_042073.2,YP_010377032.1,83.591
NP_042073.2,YP_010509253.1,86.335
NP_042073.2,YP_232926.1,89.441
NP_042073.2,YP_010085712.1,88.854
YP_008357305.1,YP_009010889.1,72.562
YP_008357305.1,YP_009010540.1,75.025
YP_010509246.1,YP_717345.1,95.755
YP_010085705.1,YP_717345.1,96.226
YP_010085488.1,YP_717345.1,96.462
YP_003987023.1,YP_010779420.1,45.07
YP_003987023.1,YP_010789874.1,45.571
YP_003987023.1,YP_004894674.1,46.684
YP_009408254.1,YP_010085745.1,89.1
YP_009408254.1,YP_010377065.1,88.626
YP_009408254.1,YP_010085531.1,89.1
NP_051988.1,NP_955270.1,37.761
NP_955270.1,YP_717438.1,39.535
NP_042158.1,NP_955270.1,39.646
NP_955270.1,YP_010085587.1,39.404
NP_955270.1,YP_009389374.1,38.184
NP_955270.1,YP_010085400.1,49.612
NP_955270.1,YP_010085236.1,49.612
NP_955270.1,YP_009177149.1,64.009
NP_955270.1,YP_009448096.1,71.029
NP_955270.1,YP_009046170.1,71.477
NP_955270.1,YP_009046405.1,71.477
NP_064785.1,YP_008004665.1,51.548
NP_064785.1,YP_008004365.1,51.556
YP_009408415.1,YP_717345.1,75.592
YP_009408213.1,YP_717345.1,75.592
YP_009282728.1,YP_717345.1,88.915
YP_009281782.1,YP_717345.1,89.151
YP_009143344.1,YP_717345.1,90.566
YP_010776074.1,YP_010789165.1,81.489
YP_010776077.1,YP_010789161.1,80.8
YP_009255194.1,YP_009310385.1,53.082
YP_009255194.1,YP_009507159.1,67.562
YP_009255194.1,YP_009345156.1,71.079
YP_010377025.1,YP_717345.1,95.283
YP_009143345.1,YP_717346.1,86.232
YP_009282729.1,YP_717346.1,88.809
NP_659621.1,YP_009408457.1,59.024
NP_659621.1,YP_009408004.1,59.675
NP_659621.1,NP_938304.1,61.595
YP_010842311.1,YP_010842326.1,62.329
YP_010842311.1,YP_010842321.1,66.17
NP_073486.1,NP_955270.1,40.088
NP_955270.1,YP_009408509.1,40.285
NP_955270.1,YP_009408307.1,41.447
NP_955270.1,YP_009268819.1,40.649
NP_955270.1,YP_009480637.1,40.217
NP_955270.1,YP_008658523.1,42.274
NP_044064.1,NP_955270.1,42.73
YP_010842310.1,YP_010842321.1,66.747
YP_010842310.1,YP_010842322.1,67.018
YP_010842310.1,YP_010842326.1,64.72
YP_010842310.1,YP_010842311.1,68.675
YP_010777813.1,YP_010789359.1,64.022
NP_051758.1,NP_659621.1,60.207
NP_659621.1,YP_009329679.1,65.951
NP_073434.1,NP_659621.1,64.497
NP_051933.1,NP_659621.1,61.481
NP_659621.1,YP_227433.1,63.93
NP_659621.1,YP_005296253.1,66.519
YP_009281783.1,YP_717346.1,89.209
YP_010377026.1,YP_717346.1,95.636
YP_010085706.1,YP_717346.1,96.727
YP_009255170.1,YP_009507109.1,47.559
YP_010776073.1,YP_010789166.1,68.839
YP_009345420.1,YP_009506860.1,83.618
NP_659621.1,YP_009480587.1,52.778
NP_659621.1,YP_009268769.1,53.812
NP_659621.1,YP_009281824.1,56.444
NP_659621.1,YP_009282770.1,56.471
NP_659621.1,YP_009143385.1,56.765
NP_659621.1,YP_010509287.1,58.529
NP_659621.1,YP_232959.1,58.382
YP_010085489.1,YP_717346.1,97.473
NP_042106.1,NP_659621.1,58.529
NP_659621.1,YP_010085746.1,57.647
NP_659621.1,YP_717387.1,58.529
NP_659621.1,YP_010085532.1,57.709
NP_659621.1,NP_671579.1,57.585
NP_536496.1,NP_659621.1,58.616
NP_659621.1,YP_004821409.1,58.728
NP_659621.1,YP_009408255.1,58.728
YP_009408253.1,YP_010377064.1,75.457
YP_009408253.1,YP_010085744.1,75.196
YP_009408253.1,YP_010085530.1,75.979
YP_009408253.1,YP_010509285.1,76.501
NP_957901.1,YP_003457428.1,89.529
NP_957903.1,YP_009112865.1,61.934
NP_957903.1,YP_003457311.1,88.548
NP_957903.1,YP_003457430.1,88.548
YP_009345211.1,YP_009507089.1,77.568
NP_659621.1,YP_010377066.1,58.468
NP_659611.1,YP_784249.1,44.225
NP_659611.1,YP_009177089.1,50.789
NP_659611.1,YP_009046091.1,51.53
NP_659611.1,YP_009046328.1,51.629
NP_659611.1,YP_009448013.1,51.287
NP_659611.1,YP_010085171.1,50.246
NP_659611.1,YP_010085335.1,50.443
NP_043990.1,NP_659611.1,50.395
NP_659611.1,YP_009389314.1,53.982
NP_659611.1,YP_009112764.1,52.901
NP_659611.1,NP_957934.1,53.982
NP_659611.1,NP_957802.1,53.3
NP_659611.1,YP_003457330.1,53.892
NP_659611.1,YP_009480575.1,59.644
NP_659611.1,YP_009268757.1,61.5
NP_659611.1,YP_008658457.1,57.129
YP_009255147.1,YP_009506862.1,67.59
YP_003407000.1,YP_009255049.1,75.137
YP_003407000.1,YP_009094736.1,99.097
NP_659611.1,YP_004821396.1,66.535
NP_659611.1,NP_671567.1,65.084
NP_659611.1,YP_010509275.1,65.579
NP_659611.1,YP_010085519.1,65.517
NP_659611.1,YP_232947.1,65.776
NP_659611.1,YP_717373.1,65.842
NP_659611.1,YP_009143372.1,66.172
NP_536484.1,NP_659611.1,65.579
NP_042094.1,NP_659611.1,65.644
NP_659611.1,YP_009281811.1,66.073
NP_659611.1,YP_009282757.1,66.271
NP_659621.1,NP_955132.1,44.053
NP_659621.1,YP_784261.1,38.724
NP_659621.1,YP_009046315.1,44.904
NP_659621.1,YP_009046078.1,45.655
NP_659611.1,NP_955144.1,50.889
NP_955268.1,YP_009046168.1,78.667
NP_955268.1,YP_009046403.1,78.667
NP_955268.1,YP_009448094.1,79.0
NP_955267.1,YP_784318.1,58.533
NP_955267.1,YP_010377115.1,59.437
NP_536545.1,NP_955267.1,59.437
NP_671628.1,NP_955267.1,59.859
NP_955267.1,YP_009480634.1,58.79
NP_955267.1,YP_009282819.1,58.592
NP_955267.1,YP_009143434.1,58.592
NP_955267.1,YP_010085584.1,60.0
NP_955267.1,YP_717435.1,59.859
NP_042155.1,NP_955267.1,59.859
NP_955267.1,YP_009281873.1,59.155
NP_051954.1,YP_009281842.1,73.574
NP_659621.1,YP_009177076.1,45.643
NP_659621.1,YP_010085347.1,40.351
NP_659621.1,YP_010085183.1,40.789
NP_044001.1,NP_659621.1,41.728
NP_659621.1,YP_009112775.1,40.996
NP_659621.1,YP_009389323.1,42.962
NP_659621.1,NP_957945.1,41.445
NP_659621.1,YP_003457341.1,41.557
NP_659621.1,NP_957813.1,42.291
NP_659621.1,YP_008658468.1,48.006
NP_659611.1,YP_009329664.1,68.744
NP_659611.1,YP_010377054.1,65.678
NP_659611.1,YP_009408242.1,66.732
NP_659611.1,YP_009408444.1,66.535
NP_659611.1,YP_010085734.1,65.48
NP_659611.1,YP_009407992.1,65.582
NP_051954.1,YP_717405.1,72.973
NP_051954.1,YP_010509305.1,73.574
NP_051954.1,YP_009329700.1,74.474
NP_955267.1,YP_009389371.1,54.622
NP_955267.1,YP_004821461.1,59.859
NP_955267.1,NP_957860.1,54.202
NP_955267.1,NP_957992.1,55.462
NP_955267.1,YP_009112822.1,54.825
NP_955267.1,YP_003457389.1,55.322
NP_051954.1,YP_010085551.1,73.684
NP_051954.1,YP_009408023.1,72.973
NP_051954.1,YP_009408475.1,72.973
NP_051954.1,YP_009408273.1,73.273
NP_051954.1,YP_004821428.1,72.372
NP_051954.1,YP_005296272.1,73.273
NP_051961.1,YP_009408280.1,66.25
NP_659611.1,NP_938295.1,70.0
NP_051923.1,NP_659611.1,72.502
NP_073424.1,NP_659611.1,71.316
NP_051748.1,NP_659611.1,74.653
NP_659611.1,YP_227423.1,75.345
NP_659621.1,YP_009448000.1,45.347
NP_051961.1,YP_009408482.1,66.375
NP_051961.1,YP_005296279.1,70.875
NP_051961.1,YP_009408030.1,70.839
NP_051961.1,YP_227459.1,77.528
NP_051954.1,YP_009143403.1,73.574
NP_051954.1,NP_536514.1,73.273
NP_051954.1,YP_232977.1,73.574
NP_051954.1,YP_010085763.1,73.574
NP_955267.1,YP_009408304.1,60.704
NP_659611.1,YP_005296243.1,69.931
NP_659609.1,YP_009177091.1,50.617
NP_659609.1,YP_009112761.1,41.725
NP_659609.1,YP_009389311.1,42.328
NP_659609.1,NP_955146.1,50.441
NP_659609.1,NP_957799.1,41.446
NP_659609.1,YP_009046330.1,51.232
NP_659609.1,YP_009046093.1,51.585
NP_659609.1,YP_003457327.1,42.152
NP_051985.1,NP_955267.1,61.041
NP_938353.1,NP_955267.1,61.549
NP_051810.1,NP_955267.1,61.181
NP_073483.1,NP_955267.1,61.831
NP_955267.1,YP_008658520.1,59.494
NP_955267.1,YP_009408054.1,61.938
NP_955267.1,YP_009268816.1,61.885
NP_044061.1,NP_955267.1,63.394
NP_042124.1,NP_051954.1,73.574
NP_051954.1,YP_009282788.1,74.775
NP_051954.1,YP_227452.1,78.078
NP_051961.1,YP_010509312.1,66.875
NP_051961.1,YP_010085770.1,66.75
NP_051954.1,YP_010377084.1,73.574
NP_955267.1,YP_010509336.1,60.0
NP_955267.1,YP_233008.1,60.0
NP_955267.1,YP_010085794.1,60.282
NP_955267.1,YP_005296303.1,61.119
NP_955267.1,YP_227482.1,60.674
NP_955267.1,YP_009408506.1,60.282
NP_955267.1,YP_009329732.1,61.406
NP_659609.1,NP_957931.1,43.838
NP_659609.1,YP_010085169.1,50.175
NP_659609.1,YP_010085333.1,50.699
NP_659609.1,YP_009268750.1,56.437
NP_659609.1,YP_009480567.1,56.261
NP_043988.1,NP_659609.1,51.146
NP_659609.1,YP_008658454.1,51.675
NP_659609.1,YP_004821393.1,62.852
NP_659609.1,YP_010085516.1,61.336
NP_042091.1,NP_659609.1,62.039
NP_659609.1,YP_010085731.1,61.863
NP_659609.1,YP_717370.1,62.148
NP_051961.1,YP_717411.1,66.5
NP_051961.1,YP_009143410.1,66.5
NP_051961.1,YP_009282795.1,66.625
NP_051961.1,YP_232984.1,66.625
NP_051961.1,YP_010377091.1,66.625
NP_051961.1,YP_010085558.1,67.0
NP_051961.1,NP_536521.1,66.667
NP_659609.1,YP_009281808.1,62.852
NP_536481.1,NP_659609.1,62.214
NP_659609.1,YP_232944.1,62.39
NP_659609.1,NP_671564.1,62.214
NP_659609.1,YP_010509272.1,62.917
NP_659609.1,YP_009282754.1,63.093
NP_659609.1,YP_009408442.1,62.787
NP_659609.1,YP_009408240.1,62.787
NP_659609.1,YP_009143369.1,64.499
NP_659609.1,YP_009407990.1,66.373
NP_659609.1,YP_005296241.1,69.894
NP_659609.1,YP_009329662.1,70.775
NP_659609.1,NP_938293.1,68.838
NP_073422.1,NP_659609.1,70.07
NP_051921.1,NP_659609.1,69.312
NP_659609.1,YP_009448015.1,51.761
NP_051961.1,YP_784294.1,47.044
NP_051961.1,YP_009177126.1,53.152
NP_051961.1,YP_010085209.1,56.663
NP_051961.1,YP_010085373.1,56.787
NP_051961.1,YP_009480611.1,58.625
NP_051961.1,YP_009268793.1,61.125
NP_051961.1,YP_008658493.1,62.375
NP_051961.1,YP_009281849.1,66.75
NP_042131.1,NP_051961.1,65.875
NP_051961.1,YP_004821435.1,66.0
NP_051961.1,YP_009046372.1,54.388
NP_051961.1,YP_009046135.1,54.017
NP_051961.1,YP_009448060.1,54.017
NP_051961.1,YP_009389347.1,52.281
NP_051961.1,YP_003457365.1,52.522
NP_051961.1,YP_009112799.1,51.961
YP_009345213.1,YP_009507087.1,81.524
YP_007354781.1,YP_010779554.1,63.725
YP_007354781.1,YP_010790203.1,61.905
YP_007354781.1,YP_010790202.1,62.143
YP_007354781.1,YP_010789353.1,63.095
NP_659609.1,YP_227421.1,78.836
YP_009255134.1,YP_009345548.1,63.571
NP_659609.1,YP_010377051.1,62.214
NP_955266.1,YP_009046401.1,67.647
NP_955266.1,YP_009046166.1,67.647
NP_955267.1,YP_010085233.1,68.124
NP_955267.1,YP_010085397.1,68.265
NP_955267.1,YP_009177147.1,84.344
NP_955267.1,YP_009046402.1,87.87
NP_955267.1,YP_009046167.1,87.588
NP_955267.1,YP_009448093.1,88.152
YP_009255134.1,YP_009345585.1,65.728
YP_009255134.1,YP_009507006.1,66.901
YP_009255134.1,YP_009255216.1,66.745
YP_009255134.1,YP_009345538.1,68.779
NP_051746.1,NP_659609.1,70.018
NP_051965.1,YP_009143414.1,65.783
NP_042072.2,YP_227403.1,75.389
YP_004895060.1,YP_010779989.1,80.911
YP_004895060.1,YP_010788353.1,89.657
YP_004895060.1,YP_010776821.1,91.589
YP_010777810.1,YP_010788362.1,74.808
NP_042072.2,YP_009268721.1,75.862
NP_042072.2,YP_009407970.1,78.816
YP_009255134.1,YP_009345279.1,64.706
NP_042072.2,YP_009408218.1,87.5
NP_042072.2,YP_009408420.1,87.5
NP_042072.2,YP_009143350.1,92.476
NP_042072.2,YP_009281788.1,93.103
YP_003407010.1,YP_009310306.1,75.775
YP_003407010.1,YP_009238844.1,71.675
YP_009282760.1,YP_010085737.1,82.707
NP_051965.1,YP_227463.1,68.921
YP_009282760.1,YP_010085522.1,82.504
YP_003407010.1,YP_004347256.1,71.462
YP_003407010.1,YP_009506968.1,72.861
YP_003407010.1,YP_009255061.1,89.524
YP_003407010.1,YP_009094747.1,99.522
YP_009255132.1,YP_009345259.1,61.916
YP_003987023.1,YP_010776479.1,47.006
NP_042072.2,YP_004821373.1,85.981
YP_003987023.1,YP_010781652.1,47.503
YP_003987023.1,YP_010780366.1,47.919
YP_003987023.1,YP_010841918.1,50.926
YP_003987023.1,YP_010777424.1,93.274
YP_010085710.1,YP_717350.1,93.958
YP_010085494.1,YP_717350.1,95.625
YP_010377030.1,YP_717350.1,96.033
YP_010509251.1,YP_717350.1,97.292
YP_003987022.1,YP_010788734.1,72.472
YP_009282757.1,YP_009448013.1,50.0
YP_003407010.1,YP_009345315.1,72.973
NP_955266.1,YP_009448092.1,67.914
YP_009282757.1,YP_010085171.1,50.837
YP_009143342.1,YP_232915.1,77.688
YP_010377023.1,YP_232915.1,91.957
YP_010085703.1,YP_232915.1,92.761
YP_010085486.1,YP_232915.1,92.761
NP_051965.1,YP_010085563.1,66.024
NP_051965.1,YP_010085774.1,67.036
NP_051965.1,YP_009281853.1,66.024
NP_051965.1,YP_005296283.1,65.983
NP_051965.1,YP_009282799.1,66.024
NP_064802.1,YP_009001688.1,67.085
NP_064802.1,YP_008004432.1,76.441
NP_064802.1,YP_008004118.1,77.945
YP_009701480.1,YP_803383.1,42.553
YP_009255130.1,YP_009310340.1,90.52
YP_009255130.1,YP_009345261.1,96.414
YP_009255130.1,YP_009507024.1,96.835
YP_003987022.1,YP_004894673.1,72.191
YP_003987022.1,YP_010780369.1,72.881
YP_003987022.1,YP_010781656.1,73.164
YP_003987022.1,YP_010777423.1,98.072
YP_009702413.1,YP_009927104.1,98.315
YP_009281787.1,YP_717350.1,70.332
YP_009143349.1,YP_717350.1,70.747
YP_009282733.1,YP_717350.1,72.407
YP_003987023.1,YP_010788733.1,46.939
YP_001425684.1,YP_001498126.1,42.336
YP_009702413.1,YP_009702574.1,99.719
NP_955263.1,NP_957988.1,41.389
YP_232915.1,YP_717343.1,95.442
YP_010509244.1,YP_232915.1,97.855
YP_001425684.1,YP_001497236.1,60.418
YP_009408003.1,YP_232958.1,66.589
YP_010776062.1,YP_010789177.1,80.586
YP_010776065.1,YP_010789174.1,70.562
NP_659622.1,YP_009281825.1,55.444
NP_659622.1,YP_009282771.1,55.444
NP_659622.1,YP_010085747.1,54.941
NP_659622.1,YP_009143386.1,55.444
NP_659622.1,YP_009408458.1,56.616
NP_073435.1,NP_659622.1,60.235
YP_010842239.1,YP_010842322.1,66.578
YP_010842239.1,YP_010842326.1,64.318
YP_010842239.1,YP_010842311.1,66.438
YP_010842239.1,YP_010842321.1,67.5
NP_955263.1,YP_009408502.1,54.459
NP_659622.1,YP_009329680.1,62.895
NP_659622.1,YP_005296254.1,63.394
NP_051759.1,NP_659622.1,60.269
NP_051934.1,NP_659622.1,61.345
NP_659622.1,YP_227434.1,65.494
YP_004895060.1,YP_010841334.1,52.663
YP_004895060.1,YP_010777733.1,62.101
YP_004895060.1,YP_010841180.1,71.685
YP_004821378.1,YP_227408.1,68.182
YP_010777817.1,YP_010777819.1,68.865
NP_659622.1,YP_004821410.1,55.444
NP_659622.1,YP_010085533.1,54.389
NP_659622.1,YP_009408005.1,56.146
NP_659622.1,YP_009408256.1,56.784
NP_659622.1,YP_717388.1,54.774
YP_005296252.1,YP_232958.1,65.349
NP_955263.1,YP_009408300.1,54.618
NP_938349.1,NP_955263.1,53.555
NP_955263.1,YP_009143430.1,53.981
NP_955263.1,YP_009282815.1,53.499
NP_955263.1,YP_009281869.1,53.655
NP_955263.1,YP_010085790.1,54.459
YP_010842239.1,YP_010842310.1,69.841
NP_536497.1,NP_659622.1,54.774
NP_659622.1,YP_232960.1,54.774
NP_659622.1,YP_010377067.1,54.606
NP_659622.1,NP_671580.1,54.774
NP_042107.1,NP_659622.1,55.109
YP_009407977.1,YP_227408.1,71.101
YP_009255216.1,YP_009345279.1,64.2
YP_009255216.1,YP_009345548.1,66.029
YP_009255118.1,YP_009507015.1,61.458
YP_009255118.1,YP_009345269.1,61.667
NP_042072.2,YP_009282734.1,93.103
NP_042072.2,YP_010085495.1,96.865
NP_042072.2,YP_010377031.1,97.492
NP_042072.2,YP_232925.1,97.492
NP_042072.2,YP_010085711.1,97.492
NP_659622.1,NP_938305.1,59.16
NP_955263.1,NP_957856.1,42.92
NP_955263.1,YP_009389367.1,43.994
NP_955263.1,YP_784314.1,47.468
NP_955263.1,YP_009268812.1,47.164
NP_955263.1,YP_009329728.1,51.048
NP_955263.1,YP_005296299.1,50.901
NP_955263.1,YP_227478.1,52.481
NP_955263.1,YP_009480630.1,50.601
NP_955263.1,YP_009408050.1,53.135
NP_955263.1,YP_004821457.1,53.514
NP_955263.1,YP_233004.1,53.643
NP_671624.1,NP_955263.1,54.531
NP_051981.1,NP_955263.1,52.623
NP_536541.1,NP_955263.1,53.953
NP_955263.1,YP_010085580.1,54.705
NP_955263.1,YP_010377111.1,53.953
NP_042151.1,NP_955263.1,53.81
NP_955263.1,YP_717431.1,54.121
NP_955263.1,YP_010509332.1,53.966
YP_009342140.1,YP_010087902.1,83.077
YP_010377037.1,YP_227408.1,71.364
NP_073479.1,NP_955263.1,53.846
YP_227408.1,YP_717357.1,71.429
NP_659622.1,YP_010509288.1,54.606
NP_659622.1,NP_957946.1,39.801
NP_659622.1,YP_009112776.1,39.635
NP_659622.1,YP_010085348.1,42.444
NP_659622.1,YP_010085184.1,42.283
NP_659622.1,YP_009480588.1,49.42
NP_044007.1,NP_659622.1,43.5
NP_659622.1,YP_009268770.1,51.171
NP_659622.1,YP_008658469.1,47.571
YP_010085501.1,YP_227408.1,71.655
YP_010509258.1,YP_227408.1,71.429
YP_010085717.1,YP_227408.1,71.882
YP_009281794.1,YP_227408.1,71.655
YP_009282740.1,YP_227408.1,71.882
NP_659605.1,YP_009408236.1,40.816
NP_659605.1,YP_009407987.1,44.658
NP_051917.1,NP_659605.1,45.417
NP_051742.1,NP_659605.1,45.777
NP_659605.1,YP_005296238.1,51.169
NP_659605.1,YP_227417.1,52.74
NP_955263.1,YP_008658516.1,52.338
NP_044057.1,NP_955263.1,59.505
NP_955263.1,YP_010085229.1,61.516
NP_955263.1,YP_010085393.1,61.664
NP_955263.1,YP_009177143.1,80.88
NP_955263.1,YP_009448089.1,83.686
NP_955263.1,YP_009046163.1,84.091
NP_955263.1,YP_009046398.1,84.242
YP_003457427.1,YP_009112862.1,58.824
YP_003457427.1,YP_009389407.1,59.524
YP_009408004.1,YP_009408255.1,62.853
YP_009408255.1,YP_010509287.1,74.888
YP_009408255.1,YP_010377066.1,74.589
YP_009408255.1,YP_010085746.1,74.589
YP_009408255.1,YP_010085532.1,75.075
YP_009143356.1,YP_227408.1,72.789
YP_001497284.1,YP_009665241.1,87.941
YP_009408254.1,YP_010085182.1,58.019
YP_009408254.1,YP_010085346.1,58.019
NP_051806.1,NP_955263.1,53.385
YP_009010351.1,YP_009010697.1,61.009
YP_009701691.1,YP_762432.1,85.27
YP_009702061.1,YP_762432.1,85.761
NP_043982.1,NP_659604.1,52.991
NP_659604.1,YP_008658448.1,56.034
NP_659604.1,YP_009408437.1,64.668
NP_659604.1,YP_004821388.1,64.482
NP_659604.1,YP_009408235.1,64.668
NP_659604.1,YP_009281803.1,65.245
NP_659604.1,YP_009143364.1,64.819
YP_001425691.1,YP_001497236.1,70.169
YP_001425691.1,YP_009701714.1,74.494
YP_001425691.1,YP_009701715.1,87.644
YP_010776486.1,YP_010777428.1,55.853
YP_010776486.1,YP_010841923.1,56.188
YP_010776486.1,YP_010789879.1,63.902
YP_010776486.1,YP_010779415.1,64.0
YP_009408255.1,YP_009448000.1,46.277
YP_009408255.1,YP_010085347.1,43.942
YP_009408255.1,YP_010085183.1,44.38
YP_009408255.1,YP_009480587.1,54.758
NP_042086.1,NP_659604.1,66.098
NP_659604.1,YP_010509267.1,66.525
NP_536477.1,NP_659604.1,66.951
NP_659604.1,YP_232939.1,66.525
NP_659604.1,YP_717365.1,66.525
